STU_ID,female,race,firstgen,prnt_female_edu,prnt_male_edu,prnt_female_occ,prnt_male_occ,self_concept_ability_math,math_teacher_gender,teach_math_9_12,teachers_high_standards,teacher_emphasize_interest,teacher_emphasize_prepare,teacher_emphasize_business,teacher_emphasize_standtest,math_mentor_pairing,math_afterschool_program,credits_stem,gpa_stem
10241,0,1,0,3,NA,0,0,2.25,0,2,2,4,4,2,3,1,1,4,2
10242,1,1,1,1,NA,0,0,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0.25
10247,0,1,1,1,NA,0,0,2,1,2,1,3,3,3,3,0,0,4,1.5
10248,1,1,0,2,NA,0,0,2.75,1,3,1,3,4,3,4,1,1,4,2.5
10251,1,1,0,2,NA,0,0,1,1,2,2,2,2,2,3,1,1,3,2
10252,1,1,0,2,NA,0,0,1.5,1,2,1,3,4,2,2,0,1,5,2.5
10254,1,2,0,3,NA,0,0,2,3,NA,NA,NA,NA,NA,NA,1,0,4,2.5
10256,1,3,1,1,NA,0,0,2,3,NA,NA,NA,NA,NA,NA,0,1,4.5,2
10257,1,1,0,2,NA,0,0,1,1,2,1,3,NA,NA,NA,1,1,4,2.5
10258,0,1,1,1,NA,0,0,2,1,3,1,3,4,2,4,1,1,4,2
10259,1,1,0,2,NA,0,0,1.5,0,3,1,4,4,3,4,0,1,4,4
10260,1,1,0,2,NA,1,0,1.5,1,3,1,NA,NA,NA,NA,1,0,4,3
10266,1,1,0,3,3,1,1,1,1,3,1,NA,NA,NA,NA,0,0,4,3.5
10272,0,1,0,2,NA,0,0,1.75,0,3,1,3,4,3,2,0,1,4,2
10275,0,3,0,2,NA,0,0,2.25,0,3,2,2,4,2,4,0,0,4,1.5
10281,1,1,1,1,NA,0,0,2.5,0,3,2,3,4,3,4,0,1,4,2
10282,1,1,0,2,NA,0,0,2,0,2,2,NA,NA,NA,NA,0,1,4,3
10283,1,3,1,1,NA,0,0,1,0,2,2,4,4,3,4,1,1,4,2.5
10284,1,2,1,1,NA,0,0,2.5,1,2,2,3,3,3,3,0,0,4,2
10285,0,5,1,1,NA,0,0,1.25,0,2,2,NA,NA,NA,NA,0,0,3,1.5
10290,1,3,0,2,NA,0,0,1,1,2,1,4,4,3,3,1,1,4,3.5
10291,1,1,1,1,NA,0,0,2,0,2,NA,NA,NA,NA,NA,0,1,0.5,1
10294,0,1,0,3,NA,0,0,1,1,2,1,3,4,2,4,0,0,2,1
10297,1,1,0,2,NA,0,0,2,0,2,2,NA,NA,NA,NA,0,0,4,3.5
10299,1,5,1,1,NA,0,0,2.25,3,NA,NA,NA,NA,NA,NA,0,0,3.5,2.5
10300,1,1,1,1,NA,0,0,3,0,3,2,3,4,3,3,NA,NA,3.5,3
10301,0,1,1,1,NA,0,0,2.5,0,2,2,2,3,3,2,NA,NA,2,1.5
